Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
MOP,FW,2,3/27/2022,2:00:00 PM,GCS2022Spring,Taiwan,LuBu,Skud,Iggy,Elsu,Lumburr,24:42,Toro,Slimz,Krixi,Kriknak,Ryoma,Omen,Aoi,Peura,Volkath,3,Zuka,Tulen,Riktor,Aya,Kato
MOP,FW,2,3/27/2022,2:00:00 PM,GCS2022Spring,Taiwan,Superman,Slimz,Raz,Zuka,WonderWoman,19:45,Roxie,Hayate,Liliana,Tachi,Yena,Aya,Iggy,Aoi,Volkath,4,Kriknak,Tulen,Yue,Omen,GaDuo
BRO,HKA,1,3/27/2022,5:00:00 PM,GCS2022Spring,Taiwan,Ryoma,Kriknak,Liliana,Elsu,Ormarr,12:50,Baldum,Slimz,Yue,Zuka,Riktor,Omen,Iggy,Airi,Lumburr,1,Keera,Aoi,Lorion,Aya,HanGi
BRO,HKA,1,3/27/2022,5:00:00 PM,GCS2022Spring,Taiwan,Yena,Eland'orr,Lorion,TheJoker,Veres,09:43,Roxie,Laville,Liliana,Wukong,Qi,Omen,Elsu,Kriknak,Ryoma,2,Tachi,Superman,Aoi,Aya,T1
BRO,HKA,1,3/27/2022,5:00:00 PM,GCS2022Spring,Taiwan,Qi,Wukong,Krixi,Hayate,Roxie,17:18,Zip,Tel'Annas,Iggy,Eland'orr,Airi,Omen,Lorion,Kriknak,Keera,3,Aoi,Volkath,Yue,Aya,Pika
HKA,BRO,2,3/5/2022,2:00:00 PM,GCS2022Spring,Taiwan,Florentino,Kriknak,Liliana,Capheny,Roxie,10:39,Alice,Hayate,Lorion,LuBu,Ryoma,Aya,Laville,Aoi,Keera,1,Airi,Eland'orr,Elsu,Omen,TLin
HKA,BRO,1,3/5/2022,2:00:00 PM,GCS2022Spring,Taiwan,Airi,Errol,Yue,TheJoker,Riktor,23:30,Xeniel,Slimz,WonderWoman,Tulen,Yena,Aya,Superman,Skud,Roxie,2,LuBu,Eland'orr,Lorion,Omen,EZ
HKA,BRO,1,3/5/2022,2:00:00 PM,GCS2022Spring,Taiwan,Superman,Keera,Iggy,Laville,Tachi,18:21,Roxie,Elsu,Krixi,Kriknak,Florentino,Omen,Yue,Aoi,Wukong,3,Baldum,Alice,Lorion,Aya,Abao
HKA,BRO,1,3/5/2022,2:00:00 PM,GCS2022Spring,Taiwan,Zuka,Aoi,Lorion,Slimz,Lumburr,12:56,Baldum,Violet,Liliana,Airi,Veres,Aya,Omen,Qi,Eland'orr,4,Max,Yena,Mina,Elsu,XiXi
MOP,BRO,2,3/6/2022,2:00:00 PM,GCS2022Spring,Taiwan,LuBu,Butterfly,Iggy,Hayate,Xeniel,21:26,Tachi,Capheny,Yue,Aoi,Airi,Aya,Lorion,Florentino,Alice,1,Lumburr,Roxie,Eland'orr,Omen,Xin
MOP,BRO,2,3/6/2022,2:00:00 PM,GCS2022Spring,Taiwan,Riktor,Skud,Raz,Yorn,Thane,12:17,Roxie,Violet,Krixi,Kriknak,Ryoma,Aya,Lorion,Elsu,TheJoker,2,Lumburr,Zip,Tachi,Omen,T1
MOP,BRO,2,3/6/2022,2:00:00 PM,GCS2022Spring,Taiwan,Amily,Aoi,Krixi,Slimz,Baldum,21:21,Veres,Elsu,Raz,Eland'orr,Omen,Aya,Lorion,LuBu,Hayate,3,Airi,Capheny,Mina,Florentino,Pika
HKA,MAD,2,3/6/2022,5:00:00 PM,GCS2022Spring,Taiwan,Riktor,Aoi,Raz,Elsu,Rouie,18:17,Cresht,Volkath,Lorion,Slimz,Ryoma,Aya,Laville,Qi,Tulen,1,Roxie,Baldum,Eland'orr,Omen,Zen
HKA,MAD,1,3/6/2022,5:00:00 PM,GCS2022Spring,Taiwan,Airi,Skud,Yue,Slimz,Xeniel,15:12,Toro,TheJoker,Ilumia,Wisp,Yena,Aya,Aoi,Keera,Iggy,2,Roxie,Tachi,Lorion,Omen,EZ
HKA,MAD,2,3/6/2022,5:00:00 PM,GCS2022Spring,Taiwan,Errol,Kriknak,Krixi,Capheny,Tachi,13:27,Veres,Hayate,WonderWoman,Tulen,LuBu,Aoi,Omen,Yue,Airi,3,Florentino,Eland'orr,Lorion,Aya,KuKu
HKA,MAD,1,3/6/2022,5:00:00 PM,GCS2022Spring,Taiwan,Veres,Ryoma,Iggy,Laville,WonderWoman,25:20,Tachi,Mina,Raz,Eland'orr,Kil'Groth,Aya,Yue,Airi,Florentino,4,Keera,Tulen,Lorion,Omen,DaDa
HKA,MAD,2,3/6/2022,5:00:00 PM,GCS2022Spring,Taiwan,Roxie,Eland'orr,Ilumia,TheJoker,Lumburr,23:41,Y'bneth,Elsu,Liliana,Keera,Omen,Yue,Aoi,Skud,Baldum,5,Florentino,Mina,Lorion,Yue,KuKu
MOP,HKA,2,4/2/2022,2:00:00 PM,GCS2022Spring,Taiwan,Airi,Keera,Lorion,Elsu,Riktor,16:38,Tachi,TheJoker,Krixi,Eland'orr,Amily,Aya,Yue,Tulen,Zip,1,Yena,Ryoma,Iggy,Omen,XiaoLin
MOP,HKA,2,4/2/2022,2:00:00 PM,GCS2022Spring,Taiwan,Roxie,Volkath,Iggy,Capheny,Lumburr,13:53,Arthur,Slimz,Yue,LuBu,Zuka,Aya,Omen,Aoi,Nakroth,2,Laville,Airi,Mina,Florentino,DaDa
MOP,HKA,2,4/2/2022,2:00:00 PM,GCS2022Spring,Taiwan,Yena,Zanis,Lorion,Bright,Xeniel,10:10,Roxie,Capheny,Krixi,Eland'orr,Tachi,Omen,Iggy,Alice,Baldum,3,Aoi,Florentino,Elsu,Aya,DaDa
ONE,MAD,1,4/2/2022,5:00:00 PM,GCS2022Spring,Taiwan,Qi,LuBu,Yue,TheJoker,Riktor,10:26,Arthur,Zuka,Iggy,Slimz,Airi,Aya,Lorion,Roxie,Baldum,1,Keera,Wukong,Aoi,Omen,Zhe
ONE,MAD,2,4/2/2022,5:00:00 PM,GCS2022Spring,Taiwan,Baldum,Kriknak,Iggy,Elsu,Tachi,23:15,Toro,Laville,Krixi,Wukong,Riktor,Omen,Aoi,LuBu,Eland'orr,2,Volkath,Mina,Lorion,Aya,KuKu
ONE,MAD,1,4/2/2022,5:00:00 PM,GCS2022Spring,Taiwan,Zuka,Errol,Krixi,Slimz,Lumburr,16:15,Tachi,Ryoma,Tulen,Wisp,Yena,Aya,Lorion,Yue,Liliana,3,Volkath,Wukong,Aoi,Omen,LunLun
ONE,MAD,1,4/2/2022,5:00:00 PM,GCS2022Spring,Taiwan,Tulen,Aoi,Dirak,Wisp,Omen,15:23,Zip,Celica,Liliana,Skud,Florentino,Elsu,Mina,LuBu,Tel'Annas,4,Hayate,Superman,Lorion,Aya,LunLun
ONE,FW,1,4/3/2022,2:00:00 PM,GCS2022Spring,Taiwan,Veres,Kriknak,Lorion,TheJoker,Riktor,16:24,Lumburr,LuBu,Yue,Wisp,Arthur,Aya,Elsu,Aoi,Eland'orr,1,Alice,Florentino,Iggy,Omen,LunLun
ONE,FW,1,4/3/2022,2:00:00 PM,GCS2022Spring,Taiwan,Yena,Aoi,Iggy,Laville,Baldum,14:49,Veres,Roxie,Krixi,Slimz,Riktor,Omen,Lorion,Ryoma,Qi,2,Airi,Florentino,Elsu,Aya,Zhe
ONE,FW,2,4/3/2022,2:00:00 PM,GCS2022Spring,Taiwan,LuBu,Tulen,Elsu,Hayate,Toro,18:08,Amily,TheJoker,Iggy,Volkath,Ryoma,Mina,Eland'orr,Aoi,Kriknak,3,Tachi,Keera,Omen,Aya,Kato
ONE,FW,2,4/3/2022,2:00:00 PM,GCS2022Spring,Taiwan,Zuka,Volkath,Dirak,Slimz,Lumburr,22:37,Raz,Liliana,Elsu,Tachi,Yena,Aya,Lorion,Eland'orr,Aoi,4,Qi,Ryoma,Yue,Omen,Junnn
ONE,FW,1,4/3/2022,2:00:00 PM,GCS2022Spring,Taiwan,Airi,Eland'orr,Yue,Capheny,Roxie,13:53,Cresht,Tel'Annas,Lorion,Kriknak,Wukong,Mina,Hayate,Zip,Zuka,5,Ryoma,Qi,Omen,Aya,Nk
BRO,MOP,1,4/3/2022,5:00:00 PM,GCS2022Spring,Taiwan,Qi,Eland'orr,Lorion,Violet,Veres,09:29,Thane,Laville,Krixi,Tulen,Yena,Omen,Iggy,Ryoma,Butterfly,1,Elsu,TheJoker,Yue,Aya,T1
BRO,MOP,2,4/3/2022,5:00:00 PM,GCS2022Spring,Taiwan,Ryoma,Kriknak,Liliana,Elsu,Ormarr,18:30,Lumburr,Slimz,Yue,Zuka,Skud,Aya,Lorion,Volkath,LuBu,2,Aoi,Riktor,Iggy,Omen,Kevin
BRO,MOP,1,4/3/2022,5:00:00 PM,GCS2022Spring,Taiwan,Zuka,Keera,Iggy,Capheny,Arthur,24:22,Riktor,Wisp,Raz,Kriknak,Airi,Omen,Lorion,Volkath,Tachi,3,Yena,Aoi,Yue,Aya,T1
BRO,MOP,1,4/3/2022,5:00:00 PM,GCS2022Spring,Taiwan,Yena,LuBu,Krixi,Yorn,Tachi,16:04,Peura,Capheny,Lorion,Wukong,Qi,Aya,Omen,Aoi,Volkath,4,Zip,Baldum,Mina,Florentino,Zirui
MAD,HKA,2,4/4/2022,2:00:00 PM,GCS2022Spring,Taiwan,Yena,Slimz,Lorion,Ryoma,Veres,21:16,Roxie,Capheny,Krixi,LuBu,Airi,Omen,Aoi,Keera,Volkath,1,Eland'orr,Florentino,Zuka,Aya,XiXi
MAD,HKA,2,4/4/2022,2:00:00 PM,GCS2022Spring,Taiwan,Zuka,Errol,Iggy,Laville,Lumburr,19:23,Arthur,Slimz,Yue,Skud,Wukong,Aya,Lorion,Mina,Keera,2,Volkath,Airi,Aoi,Omen,XiXi
MAD,HKA,2,4/4/2022,2:00:00 PM,GCS2022Spring,Taiwan,Skud,Eland'orr,Liliana,TheJoker,Riktor,16:57,Baldum,Elsu,Lorion,Keera,Zuka,Aya,Omen,Kriknak,WonderWoman,3,Roxie,Volkath,Mina,Aoi,XiaoLin
FW,BRO,2,4/4/2022,5:00:00 PM,GCS2022Spring,Taiwan,Riktor,Slimz,Liliana,Zuka,Lumburr,19:09,Arthur,Violet,Lorion,Kriknak,Ryoma,Aya,Elsu,Veres,Qi,1,Tachi,Yena,Iggy,Omen,T1
FW,BRO,1,4/4/2022,5:00:00 PM,GCS2022Spring,Taiwan,Ryoma,Tulen,Lorion,Capheny,Amily,11:37,Roxie,Hayate,Yue,Aoi,Qi,Aya,Elsu,Lumburr,Veres,2,Eland'orr,Tachi,Iggy,Omen,Kato
FW,BRO,2,4/4/2022,5:00:00 PM,GCS2022Spring,Taiwan,Yena,Wisp,Iggy,Hayate,Arum,10:29,Veres,Capheny,Krixi,Tulen,Airi,Omen,Riktor,Volkath,Eland'orr,3,Kriknak,Aoi,Elsu,Aya,Zirui
FW,BRO,2,4/4/2022,5:00:00 PM,GCS2022Spring,Taiwan,Skud,Kriknak,Yue,Violet,Tachi,11:08,Xeniel,TheJoker,Liliana,Errol,Florentino,Omen,Iggy,Riktor,Volkath,4,Eland'orr,Airi,Elsu,Aya,Pika
MAD,ONE,2,3/12/2022,2:00:00 PM,GCS2022Spring,Taiwan,LuBu,Slimz,Lorion,Xeniel,Veres,17:54,Krizzix,TheJoker,Krixi,Tachi,Yena,Omen,Aoi,Kriknak,Keera,1,Florentino,Airi,Elsu,Aya,Zhe
MAD,ONE,1,3/12/2022,2:00:00 PM,GCS2022Spring,Taiwan,Airi,Errol,Iggy,TheJoker,Lumburr,24:57,Riktor,Slimz,Yue,Veres,Ryoma,Aya,Lorion,Keera,Eland'orr,2,Kriknak,Volkath,Aoi,Omen,KuKu
MAD,ONE,2,3/12/2022,2:00:00 PM,GCS2022Spring,Taiwan,Kil'Groth,Violet,Yue,Ryoma,Thane,29:22,Lumburr,Elsu,Liliana,Volkath,LuBu,Omen,Lorion,Aoi,Keera,3,Baldum,Florentino,Eland'orr,Aya,Zhe
MAD,ONE,1,3/12/2022,2:00:00 PM,GCS2022Spring,Taiwan,Tachi,Keera,Liliana,Elsu,Omen,25:30,WonderWoman,Capheny,Iggy,Tulen,Mina,Aya,Lorion,Laville,Peura,4,Skud,Kriknak,Florentino,Hayate,Kawhi
MAD,ONE,1,3/12/2022,2:00:00 PM,GCS2022Spring,Taiwan,Florentino,Skud,Annette,Tel'Annas,Baldum,16:10,Ormarr,Violet,Lorion,Zuka,Superman,Aya,Omen,Keera,Airi,5,Krixi,Aoi,Eland'orr,Hayate,03.22
HKA,MOP,1,3/12/2022,5:00:00 PM,GCS2022Spring,Taiwan,Qi,Aoi,Kahlii,Laville,Lumburr,22:59,Volkath,TheJoker,Yue,Errol,Riktor,Aya,Lorion,Superman,Airi,1,Peura,Arum,Hayate,Omen,Abao
HKA,MOP,2,3/12/2022,5:00:00 PM,GCS2022Spring,Taiwan,Airi,Ryoma,Raz,Slimz,Roxie,16:47,Cresht,Zuka,Lorion,Eland'orr,Yena,Aoi,Omen,Laville,Hayate,2,Kriknak,TheJoker,Elsu,Aya,Dong
HKA,MOP,1,3/12/2022,5:00:00 PM,GCS2022Spring,Taiwan,Fennik,Volkath,Iggy,TheJoker,Cresht,18:44,Arum,Marja,Elsu,Ryoma,Florentino,Aya,Aoi,Skud,LuBu,3,Xeniel,Peura,Omen,Lorion,XiXi
HKA,MOP,1,3/12/2022,5:00:00 PM,GCS2022Spring,Taiwan,Omen,Tachi,Lorion,Capheny,Thane,22:22,Baldum,Yorn,Krixi,Skud,Amily,Aoi,Hayate,Laville,Slimz,4,Keera,Florentino,Yue,Aya,Abao
MAD,FW,1,3/13/2022,2:00:00 PM,GCS2022Spring,Taiwan,Yena,Slimz,Lorion,Ryoma,Veres,09:54,Tachi,Wisp,Liliana,Kriknak,Riktor,Omen,Aoi,Hayate,Florentino,1,Airi,Tulen,Yue,Aya,BorBor
MAD,FW,1,3/13/2022,2:00:00 PM,GCS2022Spring,Taiwan,Zuka,Wisp,Tulen,Liliana,Cresht,13:20,Baldum,Hayate,Krixi,LuBu,Yena,Omen,Lorion,Florentino,Aoi,2,Airi,WonderWoman,Yue,Aya,Kawhi
MAD,FW,1,3/13/2022,2:00:00 PM,GCS2022Spring,Taiwan,Omen,Keera,Elsu,Hayate,Tachi,09:32,TeeMee,Capheny,Lorion,Eland'orr,Florentino,Aya,Yue,Veres,Xeniel,3,Raz,Krixi,Airi,Iggy,KuKu
ONE,BRO,1,3/13/2022,5:00:00 PM,GCS2022Spring,Taiwan,LuBu,Volkath,Iggy,TheJoker,Lumburr,17:59,Roxie,Violet,Yue,Aoi,Ryoma,Aya,Hayate,Florentino,Veres,1,Tachi,Airi,Eland'orr,Omen,Zhe
ONE,BRO,2,3/13/2022,5:00:00 PM,GCS2022Spring,Taiwan,Ryoma,Keera,Krixi,Slimz,Tachi,16:46,Veres,Elsu,Lorion,Kriknak,Qi,Aya,Hayate,Florentino,LuBu,2,Aoi,Superman,Yue,Omen,Pika
ONE,BRO,1,3/13/2022,5:00:00 PM,GCS2022Spring,Taiwan,Yena,Aoi,Liliana,Violet,Xeniel,15:44,Arthur,Capheny,Iggy,Errol,Airi,Aya,Tachi,LuBu,Eland'orr,3,Elsu,Riktor,Lorion,Omen,Nk
ONE,BRO,1,3/13/2022,5:00:00 PM,GCS2022Spring,Taiwan,Airi,Eland'orr,Lorion,Laville,Riktor,13:41,Tachi,Hayate,Liliana,Butterfly,Superman,Krixi,Mina,Yena,Zuka,4,Capheny,Elsu,Omen,Aya,Kai
BRO,ONE,1,4/9/2022,2:00:00 PM,GCS2022Spring,Taiwan,Qi,Eland'orr,Lorion,Violet,Veres,25:25,Tachi,Capheny,Krixi,Ryoma,Florentino,Omen,Riktor,TheJoker,Kriknak,1,LuBu,Airi,Elsu,Aya,Xin
BRO,ONE,2,4/9/2022,2:00:00 PM,GCS2022Spring,Taiwan,Ryoma,Nakroth,Krixi,Hayate,Roxie,18:28,Superman,TheJoker,Liliana,Aoi,Zuka,Omen,Lorion,Riktor,Airi,2,Keera,Tulen,Elsu,Aya,Nk
BRO,ONE,1,4/9/2022,2:00:00 PM,GCS2022Spring,Taiwan,Kil'Groth,Kriknak,Tulen,Elsu,Riktor,21:57,Peura,Slimz,Yue,LuBu,Qi,Aya,Lorion,Yena,Roxie,3,Florentino,Airi,Iggy,Omen,Pika
BRO,ONE,2,4/9/2022,2:00:00 PM,GCS2022Spring,Taiwan,Florentino,Volkath,Liliana,Slimz,Xeniel,11:12,Lumburr,Laville,Iggy,Tulen,Riktor,Eland'orr,Lorion,Kriknak,Airi,4,Yena,Aoi,Omen,Aya,Kai
BRO,ONE,2,4/9/2022,2:00:00 PM,GCS2022Spring,Taiwan,Omen,Keera,Raz,TheJoker,Tachi,18:50,Roxie,Elsu,Dirak,Errol,Mina,Eland'orr,Lorion,Yena,Veres,5,Airi,Yue,Iggy,Aya,Kai
FW,MAD,2,4/9/2022,5:00:00 PM,GCS2022Spring,Taiwan,Riktor,Kriknak,Krixi,Slimz,Baldum,21:08,Cresht,Ryoma,Tulen,Wisp,Airi,Aya,Lorion,Thane,Roxie,1,Volkath,Wukong,Aoi,Omen,Zen
FW,MAD,1,4/9/2022,5:00:00 PM,GCS2022Spring,Taiwan,Zuka,Tulen,Liliana,Elsu,Tachi,20:05,Enzo,TheJoker,Lorion,Slimz,Volkath,Aya,Omen,Qi,LuBu,2,Keera,Aoi,Mina,Florentino,GaDuo
FW,MAD,2,4/9/2022,5:00:00 PM,GCS2022Spring,Taiwan,Ryoma,Keera,Raz,Tel'Annas,Arthur,15:51,Riktor,Violet,Krixi,Wukong,LuBu,Elsu,Omen,Baldum,Tachi,3,Veres,Florentino,Lorion,Aya,03.22
FW,MAD,2,4/9/2022,5:00:00 PM,GCS2022Spring,Taiwan,Superman,Nakroth,Lorion,Capheny,Roxie,20:38,Baldum,Hayate,Liliana,Veres,Yena,Aya,Omen,Tachi,Aoi,4,Eland'orr,Wukong,Mina,Florentino,Kawhi
MOP,ONE,2,4/10/2022,2:00:00 PM,GCS2022Spring,Taiwan,Yena,Eland'orr,Krixi,Valhein,Tachi,22:37,Veres,TheJoker,Lorion,Keera,Superman,Aya,Elsu,Ryoma,Wukong,1,Zuka,Airi,Aoi,Omen,WaWa
MOP,ONE,2,4/10/2022,2:00:00 PM,GCS2022Spring,Taiwan,Florentino,Zuka,Tulen,Slimz,WonderWoman,12:35,Riktor,Elsu,Liliana,Nakroth,Yena,Aya,Iggy,Wukong,Volkath,2,Qi,Ryoma,Lorion,Omen,Nk
MOP,ONE,2,4/10/2022,2:00:00 PM,GCS2022Spring,Taiwan,Skud,Volkath,Elsu,Kahlii,Riktor,16:18,Lumburr,Slimz,Iggy,Tulen,Ryoma,Aya,Omen,Eland'orr,Aoi,3,LuBu,Superman,Mina,Lorion,Nk
FW,HKA,2,4/10/2022,5:00:00 PM,GCS2022Spring,Taiwan,Yena,Eland'orr,Iggy,Slimz,Toro,14:50,Riktor,Laville,Yue,LuBu,Airi,Aya,Lorion,Lumburr,Arthur,1,Wukong,Volkath,Aoi,Omen,EZ
FW,HKA,2,4/10/2022,5:00:00 PM,GCS2022Spring,Taiwan,Ryoma,Enzo,Zata,Elsu,Baldum,16:46,Rouie,Volkath,Lorion,Eland'orr,Zuka,Aya,Omen,Yena,Roxie,2,Wukong,Superman,Mina,Florentino,Yue
FW,HKA,1,4/10/2022,5:00:00 PM,GCS2022Spring,Taiwan,Florentino,D'Arcy,Krixi,Wisp,Xeniel,00:00,WonderWoman,Tel'Annas,Annette,Tulen,Omen,Aya,Elsu,Kriknak,Alice,3,Volkath,Nakroth,Aoi,Yue,Junnn
FW,HKA,2,4/10/2022,5:00:00 PM,GCS2022Spring,Taiwan,Omen,Sinestrea,Maloch,Airi,Raz,13:14,Baldum,Capheny,Liliana,Keera,Florentino,Elsu,Krixi,Roxie,Xeniel,4,Volkath,Aoi,Lorion,Aya,Yue
ONE,MOP,1,3/19/2022,2:00:00 PM,GCS2022Spring,Taiwan,LuBu,Volkath,Yue,Laville,Lumburr,15:05,Cresht,Elsu,Lorion,Kriknak,Riktor,Aya,Hayate,Florentino,Airi,1,Kil'Groth,Aoi,Eland'orr,Omen,Zhe
ONE,MOP,1,3/19/2022,2:00:00 PM,GCS2022Spring,Taiwan,Zuka,Veres,Iggy,Violet,Baldum,16:27,Roxie,Laville,Zata,Tachi,Kil'Groth,Omen,Aoi,Airi,Florentino,2,Eland'orr,Superman,Elsu,Aya,LunLun
ONE,MOP,2,3/19/2022,2:00:00 PM,GCS2022Spring,Taiwan,Airi,Eland'orr,Raz,Omen,Mina,12:23,Baldum,Yena,Krixi,Wisp,Amily,Yue,Hayate,Yorn,Slimz,3,TheJoker,Zata,Lorion,Aya,Kevin
ONE,MOP,1,3/19/2022,2:00:00 PM,GCS2022Spring,Taiwan,Yena,Aoi,Krixi,Elsu,Riktor,17:27,Lumburr,Slimz,Liliana,Volkath,Airi,Aya,Omen,LuBu,Zuka,4,Florentino,TheJoker,Hayate,Lorion,Nk
HKA,FW,1,3/19/2022,5:00:00 PM,GCS2022Spring,Taiwan,Airi,LuBu,Liliana,Laville,Roxie,16:03,Tachi,Kriknak,Lorion,TheJoker,Ryoma,Aya,Aoi,Volkath,Eland'orr,1,Keera,Tulen,Iggy,Omen,DaDa
HKA,FW,2,3/19/2022,5:00:00 PM,GCS2022Spring,Taiwan,Veres,Slimz,Yue,Ryoma,Omen,18:54,Mina,Hayate,Iggy,Zuka,Volkath,Aoi,Florentino,Roxie,Lumburr,2,Capheny,Tulen,Lorion,Aya,Junnn
HKA,FW,1,3/19/2022,5:00:00 PM,GCS2022Spring,Taiwan,Zuka,Aoi,Raz,Capheny,Riktor,21:04,Lumburr,Laville,Iggy,Keera,LuBu,Aya,Yue,Omen,Florentino,3,Eland'orr,Tachi,Volkath,Lorion,DaDa
HKA,FW,1,3/19/2022,5:00:00 PM,GCS2022Spring,Taiwan,Wukong,Sinestrea,Iggy,Elsu,Lumburr,16:22,Cresht,Yena,Liliana,Eland'orr,Florentino,Omen,Aoi,Arthur,Roxie,4,Tulen,Kriknak,Lorion,Aya,XiXi
BRO,FW,2,3/20/2022,2:00:00 PM,GCS2022Spring,Taiwan,Qi,Aoi,Lorion,Valhein,Lumburr,13:08,Arum,Ryoma,Yue,Violet,LuBu,Omen,Iggy,Eland'orr,Airi,1,Hayate,TheJoker,Elsu,Aya,Junnn
BRO,FW,1,3/20/2022,2:00:00 PM,GCS2022Spring,Taiwan,Roxie,Kriknak,Liliana,Elsu,Alice,15:10,Peura,Laville,Krixi,Volkath,Zuka,Aya,Lorion,Aoi,Keera,2,Veres,Laville,Yue,Omen,Pika
BRO,FW,2,3/20/2022,2:00:00 PM,GCS2022Spring,Taiwan,Amily,Eland'orr,Iggy,TheJoker,Thane,26:42,Veres,Capheny,Liliana,Tulen,Riktor,Omen,Lorion,Lumburr,Superman,3,Xeniel,LuBu,Ryoma,Aya,Junnn
BRO,FW,2,3/20/2022,2:00:00 PM,GCS2022Spring,Taiwan,Airi,Keera,Krixi,Capheny,Tachi,20:41,Lumburr,Hayate,Iggy,Kriknak,Yena,Aya,Lorion,Mina,Roxie,4,Zuka,Tulen,Ryoma,Omen,Kato
MOP,MAD,2,3/20/2022,5:00:00 PM,GCS2022Spring,Taiwan,Qi,Keera,Krixi,Laville,Tachi,16:45,Veres,Slimz,Lorion,Wukong,Yena,Aya,Elsu,Skud,Eland'orr,1,Airi,Florentino,Aoi,Omen,Zen
MOP,MAD,2,3/20/2022,5:00:00 PM,GCS2022Spring,Taiwan,Yena,Errol,Zata,Elsu,Lumburr,16:33,Riktor,Ryoma,Iggy,Wisp,Arthur,Aya,Yue,Cresht,Xeniel,2,Volkath,Wukong,Aoi,Omen,BorBor
MOP,MAD,2,3/20/2022,5:00:00 PM,GCS2022Spring,Taiwan,Airi,Eland'orr,Superman,Liliana,Alice,25:19,Tachi,Hayate,Krixi,D'Arcy,Volkath,Aya,Yue,Butterfly,Tulen,3,Veres,Zuka,Aoi,Omen,KuKu
MAD,HKA,1,4/16/2022,2:00:00 PM,GCS2022Spring,Taiwan,Yena,Wukong,Annette,Tel'Annas,Baldum,21:51,Thane,Violet,Lorion,Keera,Airi,Aya,Elsu,Alice,Volkath,1,Eland'orr,Aoi,Iggy,Omen,03.22
MAD,HKA,1,4/16/2022,2:00:00 PM,GCS2022Spring,Taiwan,Ryoma,Zephys,Iggy,Wisp,Lumburr,24:45,Arthur,Slimz,Yue,Zuka,Veres,Omen,Aoi,Wukong,Volkath,2,Airi,Florentino,Lorion,Aya,KuKu
MAD,HKA,1,4/16/2022,2:00:00 PM,GCS2022Spring,Taiwan,Riktor,Slimz,Liliana,TheJoker,Roxie,29:29,Cresht,Capheny,WonderWoman,Tulen,Ryoma,Omen,Aoi,Wukong,Baldum,3,Volkath,Elsu,Lorion,Aoi,KuKu
MAD,HKA,2,4/16/2022,2:00:00 PM,GCS2022Spring,Taiwan,LuBu,Tachi,Lorion,Laville,Cresht,21:56,Roxie,Elsu,Mganga,Fennik,Riktor,Florentino,Mina,Eland'orr,Aoi,4,Airi,Alice,Omen,Aoi,Abao
MAD,HKA,2,4/16/2022,2:00:00 PM,GCS2022Spring,Taiwan,Omen,Keera,Krixi,Capheny,Arum,15:32,Taara,TheJoker,Aya,Errol,Tachi,Xeniel,Nakroth,Florentino,Mina,5,Tulen,Yue,Elsu,Aoi,DaDa
MAD,HKA,2,4/16/2022,2:00:00 PM,GCS2022Spring,Taiwan,Airi,Kriknak,Yue,Violet,Thane,21:43,Volkath,Laville,Kahlii,Eland'orr,Wukong,Omen,Iggy,Lumburr,Rouie,6,Zip,Mina,Aoi,Aya,DaDa
MAD,HKA,1,4/16/2022,2:00:00 PM,GCS2022Spring,Taiwan,Yena,Keera,Lorion,Tel'Annas,Baldum,17:14,Roxie,Capheny,Krixi,Aoi,Airi,Aya,Elsu,Eland'orr,Laville,7,Slimz,Wukong,Ryoma,Omen,Kawhi
ONE,BRO,2,4/16/2022,6:00:00 PM,GCS2022Spring,Taiwan,Riktor,LuBu,Yue,Slimz,Tachi,15:53,Thane,TheJoker,Lorion,Nakroth,Ryoma,Aya,Omen,Veres,Eland'orr,1,Tel'Annas,Elsu,Mina,Florentino,Xin
ONE,BRO,1,4/16/2022,6:00:00 PM,GCS2022Spring,Taiwan,Qi,Zuka,Iggy,Laville,Lumburr,16:50,Xeniel,Elsu,Liliana,Wukong,Yena,Aya,Riktor,Tulen,Aoi,2,Volkath,Florentino,Lorion,Omen,Kai
ONE,BRO,2,4/16/2022,6:00:00 PM,GCS2022Spring,Taiwan,Ryoma,Keera,Raz,Tel'Annas,Baldum,23:50,Roxie,Violet,Krixi,Kriknak,Zuka,Omen,Lumburr,Eland'orr,LuBu,3,Aoi,Airi,Lorion,Aya,Pika
ONE,BRO,1,4/16/2022,6:00:00 PM,GCS2022Spring,Taiwan,Airi,Kriknak,Dirak,Elsu,Roxie,17:07,Alice,Laville,Tulen,Veres,Riktor,Aya,Iggy,Yue,Raz,4,Aoi,Liliana,Omen,Lorion,LunLun
ONE,BRO,2,4/16/2022,6:00:00 PM,GCS2022Spring,Taiwan,Veres,Tulen,WonderWoman,Wisp,Amily,22:36,Peura,Capheny,Iggy,Aoi,Skud,Tel'Annas,Mina,Airi,Baldum,5,Kil'Groth,Florentino,Omen,Aya,Pika
ONE,BRO,1,4/16/2022,6:00:00 PM,GCS2022Spring,Taiwan,Omen,Sinestrea,Liliana,TheJoker,Y'bneth,10:57,Aleister,Marja,WonderWoman,Eland'orr,Amily,Tel'Annas,Mina,Florentino,Baldum,6,Xeniel,Wukong,Lorion,Aya,Zhe
