web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype,score1,score2,score3,score4,score5,score6
1646394033-690,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"My first time here at Pattaya was nice. The hotel location is near every place. not close to the beach but just cross the road. In front of the hotel, there are taxi, public transportation where you can take it to the walking street. Nearby the hotel has convenient store. Not far from Central shopping mall. Same area with Holiday Inn, Mercure, Ibis. The room is clean enough, the pool is big and clean. The staff is superb friendly. So, i really enjoyed stay here and will be one of my choice for next visit.",elliezh,?.?.-17,5,,Solo,5-Rooms,5-Service,5-Sleep Quality,null,null,null
1646394033-713,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Hello guys this is one of the best hotels of pattaya.Beautiful rooms,walking distance in fact just in front of ocean its location is beautiful.Staff if superb and caring too.Buffet spread is amazi ng.We loved this hotel",sanadimple,?.?.-16,5,,Family,null,null,null,null,null,null
1646394033-795,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This hotel is situated at very good area right opposite to beach.The best part of this hotel is the view from the rooms. Superb. All rooms have good sea-view.The rooms are also good, spacious with comfortable bed ,good decor.
Staffs were on an average not so warm. Cleanliness was OK. Not used the spa and fitness centre. Food was good but nothing extraordinary.
On an average good for the price.",Sarbani C,?.?.-15,4,,Family,4-Value,4-Rooms,5-Location,4-Cleanliness,4-Service,4-Sleep Quality
1646394033-826,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Pattaya is not my favorite place in Thailand, but The Amari is very pleasant. 
The club floor rooms are spacious and the 50m outdoor pool is fantastic for swimmers.
The club has spectacular sunset views and my evening working while watching the sunset was sensational.
My only suggestion to the hotel would be to increase the quality of the in-room toiletries for example the razor. It broke before I could even use it.",Michaelwix,?.?.-15,4,"Beijing, China",Business,null,null,null,null,null,null
1646394033-757,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Enjoying a stay at the Amari Ocean Pattaya. The hotel is a great spot only minutes away from the sea. We have enjoyed walking along the sea front everyday as well as relaxing by the hotel pool. Not very busy at the moment as I believe this is low season. 
Our room is comfortable and well appointed. The staff are friendly and courteous. 
There are numerous restaurants and bars within walking distance or a short taxi ride away.",cherylbhutch,??.?.-16,4,Brunei Darussalam,Couple,null,null,null,null,null,null
1646394033-702,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,I have stayed here many times (20+). Staff always helpful. Excellent hotel. Noisy at the moment due to development work going on at the hotel. But otherwise excellent as always. I will be staying a this hotel again at least 3 more times this year. I can't wait to go back.,christophersS4035LM,??.?.-17,5,"Saffron Walden, United Kingdom",Solo,5-Value,4-Rooms,5-Location,5-Cleanliness,5-Service,3-Sleep Quality
1646394033-794,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Another fabulous holiday at the Amari Ocean!
As part of our summer break in Thailand, we have, once again, returned to the Amari Ocean.  As much as we like to experience new areas, new hotels and meet new people, we keep returning here for our Amari fix!
Check in was swiftly taken care of in 'The Club' over a cold drink and the welcome ice cold towel.  As always the club is a haven to take refreshments and the 'Happy Hour' is not to be missed. Our grateful thanks to Tukta, Doll, Am, Nan, Nana and the Club staff for taking such good care of us!
Our room was, as expected, large, comfortable and spotlessly clean.  The housekeeping team kept it this way throughout our stay.  The team ensure that you want for nothing! Fresh towels twice daily if required and clean sheets too...
Although as Club members you can breakfast in the Club, we ate breakfast mostly in Essence.  A huge variety of food to tempt even the fussiest palette! From Indian curries to Thai noodles, Sushi, dim sum, a British 'fry up', continental meats or cheeses, cakes, croissants, pancakes, waffles...the list is endless.  If anyone leaves hungry, it is definitely by choice!  A special mention must go to the staff in Essence....service with a smile from Gun, Prime, O, Wi, Lila and I'm sorry if I haven't mentioned everyone of the fabulous staff!
Often meeting friends for 'happy hour' (or two) and meals at The Tavern, it soon became somewhat of a nightly ritual.  Cold beer, air conditioned comfort (or open air fans) and the choice of sporting fixtures or the resident duo.  A great way to wile away a couple of hours after sight seeing or the hard work of lounging by the pool!  The staff knew your favourite tipple and ensured that the glass was rarely empty for long...thanks to Noi, Maha, Ae, Tang and the team!
The pool areas is large enough to enjoy the pools or jacuzzi in the blistering heat.  Plenty of sun beds , and very little sun bed  reserving thanks to the staff ensuring that sun  beds  are not reserved but unoccupied for hours! The pool staff will assist you wherever possible...cold drinks, delicious food or putting up your parasol.   Fresh towels are readily available, and you can swap then as and when you want...saves on valuable luggage space and weight leaving more space for the spoils of my shopping trips!  The noodle soup, served from the cart poolside is absolutely delicious and a very reasonable 100-130 Bahts depending on your chosen accompaniment (chicken, pork or shrimp). A must try - either served to your sun bed, or eaten at the 'dining area'.
Ever present (and highly visible) are the management team: Brendan, Richard, Jib and Dan, again ensuring that everyone is happy.  I'm sure that, should I have experienced any difficulties or problems they would have been resolved as soon as humanly possible, and to our satisfaction.
All in all a great time was had by all, and we cannot wait for our next Amari fix!!",RhondaEssex,?.?.-15,5,"Stanford-Le-Hope, United Kingdom",Friends,5-Value,5-Rooms,5-Service,null,null,null
1646394033-778,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I was in Bangkok and figured it would be worth it to drive a few hours to the Gulf. Pattaya - being the closest city made it an easy choice.  Lets start with the location. The hotel isn't location in the beach. It's across the street just like most...if not all the hotels in Pattaya. In my opinion, it is the perfect location since it's close enough to the action yet far enough away so you can have a nice quiet sleep. 
The staff was nice but something about the experience was a little off. They weren't rude by any means but being the third hotel I have experienced in Thailand it was definitely not as welcoming and as well trained as others. So - just ok when it came to front desk and pool staff. 
The pool area was a nice surprise. Nice size pool with a pool bar and very chill. Servers also around for food and drinks. 
UPGRADE TO OCEANFRONT!! Period. I paid an extra $40 per night and had an amazing view of the ocean. As soon as I entered the room I was thinking of extending my stay. it's really that nice. The bed was comfortable and I really liked the open bath design of the room.  After a few hours when i was used to the view I did notice some stains on the curtains and inside the shower the calking was discolored and just looked odd. These issues aren't major at all and with the value of the hotel I would 100% overlook.  My friend was in another room and told me it was one of the nicest rooms he has ever been in so maybe I am a hotel snob:) 
All in all, If i ever returned to Pattaya I would stay here again. BUT, I can say I will never come back to this city. The ocean is too polluted to swim in and the main downtown attraction ""walking street"" was just not my thing and a little too ""in your face"" for my taste if you know what I mean.",iscreenwriter,?.?.-16,4,"San Francisco, California",Friends,5-Location,4-Cleanliness,3-Service,null,null,null
1646394033-677,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Nice and pleasant but too short of a trip to enjoy the facility there. Good view of the sea and walking distance to the shopping mall and walking street. Plenty of good Thailand food and also drinking pubs.,koh139,?.?.-17,4,,Business,4-Value,4-Rooms,3-Location,4-Cleanliness,4-Service,3-Sleep Quality
1646394033-785,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"good location, well facilitated hotel,  nice food for dinner and you could also listen to music at the bar in the front of beach. Very nice view to the ocean from hotel room. I would like to come back someday",thithutrangn2015,?.?.-15,4,Pattaya,Business,4-Value,4-Rooms,5-Location,4-Cleanliness,4-Service,5-Sleep Quality
1646394033-607,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I was in contact with their service department about upgrading the room, and was told it would be 10,000 THB to upgrade when I get there they say it’s 40,000 THB to upgrade. Now I was stuck in a   foreign country with a language barrier. I had to upgrade the room and add an extra room for $500.00 USD. Other than that the hotel was beautiful and they had a friendly staff (Bowe) motivated to help out. Thanks (Bowe)",Rocky L,??.?.-19,3,"New York City, New York",Friends,2-Value,4-Rooms,3-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646394033-570,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"First time i stayed at amari hotel chain with a group of friends visiting to play 4 rounds of golf. Usually prefer to stay at bigger chains but this time decided to stay at amari as the deal was quite good. What a revelation it was, clean, modern and wonderful location. rooms were well done up and modern, customer service was absolutely flawless couldn't find fault with anything. Buffet breakfast had more varieties than one can imagine and fantastically cooked. Definite a revisit hotel.",Micky,?.?.-19,5,"Sydney, Australia",null,5-Rooms,5-Location,5-Service,null,null,null
1646394033-789,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Amari is the best in pattaya. all staff members was friendly and professional.we really enjoyed the stay in here. . . the breakfast buffet was great . . . had a great selection of variety.the room was very nice and comfortable with breathtaking views over pattaya. had a great experience. thank you Amari Ocean, i would stay here again.............",noily f,?.?.-15,5,"Dubai, United Arab Emirates",Friends,4-Value,5-Location,5-Service,null,null,null
1646394033-582,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We really enjoyed our stay in Amari Pattaya.
It’s in a prime location just 5 minute walk away from the night markets but quiet enough for a good night’s rest. There is a water park within the resort complex, which is enjoyable even for us adults. 
We stayed in the executive suite ocean view which gives us access to and is right beside the executive lounge. Can I just say we love the cocktail hours so much? The Chef has provided some amazing food (sashimi, thai food, desserts and more) we don’t even have to step out of amari for a good dinner.
Last but not least they serve an amazing breakfast buffet on better or equal standards that many hotels we went to. There’s live eggs waffles crepes and wanton noodles station to your sushi and asian dishes. 
Will definitely bring kids back one day because they have so many children facilities to keep them occupied (pool, kids club etc)",ourconsonance,?.?.-19,5,"Singapore, Singapore",Couple,5-Cleanliness,5-Service,5-Sleep Quality,null,null,null
1646394033-832,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We stayed in Amari Ocean Hotel for two nights this June, still here at the time of writing the review.
Hotel Location was a big WOW!! Next to beach and centrally located to main road and markets.
Room was awesome, bed size was quite big and very comfortable.
Room service was a big plus++, did not find a single time when I didn't get proper response.
Pools were amazing, kids enjoyed a lot.
I will certainly stay in this hotel again if I Return to Pattaya!",Dheeraj A,??.?.-15,5,Jaipur,null,null,null,null,null,null,null
1646394033-576,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,My family had a great fun together all activities in hotel especially pool. Buffet had many kind of nation foods. Recommend for families have kids. Very fast early check in and nice staff all departments in hotel.,nuiandchill,?.?.-19,5,,Family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646394033-684,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Great value place in Pattaya. There are many facilities with decent quality in both a hotel room and the incredible swimming pool. I had a very great time in the room with a wonderful bathtub behind the king-sized bed. The service quality is excellent. Strongly recommended.,kawinj2017,?.?.-17,5,,Friends,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646394033-857,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This is by no means a cheap hotel, ( at least not the Tower section, the Garden section is more accesible, pricewise ) but if you enjoy affordable luxury, book in the Towers executive club.
Our room was spacious and offered a magnificent view  ( duplexroom - upgrade received, thank you ! ).
Service is flawless, from Bellboys to Concierge, Housekeeping and reception, 
They all deserve praise which should also be acknowledged by the Management.
Your human resources make the difference - Reward them accordingly.
The 3 pools offer different swimming styles and are also excellent when you are with children.
Booking an advanced dinner online, for Mantra restaurant ( on their website) will knock 50% off the regular price. Extremely good value !
I used to be a Dusit customer, but due to all the goodies Amari offers, I switched to here.
Oh not to forget the free, reasonably fast internet.
Tip to management : you should offer the possibility to only have to log on to your internet once, for the entire stay. 
Now everytime one goes online, it´s logging in again, which gets a bit frustrating in the end.
Once again , thank you and Sawadeeka !!
Axel B - room 2014",Park_Brugge,?.?.-14,5,"Bruges, Belgium",Family,5-Rooms,5-Cleanliness,5-Service,null,null,null
1646394033-770,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Overall the experience was above average. We booked a family deluxe room for 2A2C. Upon check in, they allocated a room on the club floor for us!
Room is spacious but we felt the cleanliness was a bit lacking especially on the upper deck of the loft bed. Good to do some cleaning up on your own if you book one. 
Breakfast spread is pretty good with a mix of local, American, continental, asian and Indian vegetarian. Restaurant staff was polite and even provided complimentary hash browns for my small boy when we casually commented that they dun serve hash brown for breakfast. 
Ground was pretty spacious, nicely scaped and clean and shared with Amari Gardens. Just outside the main road, there are plenty of baht bus timing around, waiting to fetch you for 10baht/pax. 
Overall, quiet end of the beach, good for family where you needed some peace and quiet.",Jiaqi W,??.?.-16,4,,Family,null,null,null,null,null,null
1646394033-554,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,I stayed at Grand Deluxe Ocean View Room. I liked this room type very much because it was 180 degree sea view and room space is quite big. There were lots of cartoon channel in TV. The pools for kids were excellent. There were 2 kids club which the children could enjoy the activities at 2 rooms. There were breakfast for kids zone on weekend. The cutlery for kids were well prepared. I will go back again.,Tonpalmy,?.?.-20,5,"Bangkok, Thailand",null,5-Value,5-Rooms,5-Service,null,null,null
1646394033-594,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Make sure building work is completed before you book. So loud in the morning. New pool area is lovely. Trying to make it very kid friendly with new kids pool and play area. Rooms could have been cleaner.,Passport38379309422,??.?.-19,3,,Couple,4-Value,4-Rooms,5-Location,3-Cleanliness,5-Service,3-Sleep Quality
1646394033-688,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I had the occasion last week to visit Pattaya for a business conference. The Amari Garden is gone with its resort style charm to be replaced by........ Checked into Amari  Ocean. The friendliness and welcoming nature which one associated with the earlier avatar is totally gone. The reception desk is downright rude as if they are doing you a favour letting you in to the hotel. And can you best this: there were numerous people waiting in the lounge to be allotted rooms , for some reason even though most of their guests check out at around 10 they still will not checkin before 2 pm. The icing on the cake is that there were staff going all around the lobby remonstrating all the weary travellers to sit properly and straight in the seats lest the decorum of the property is disturbed. Well give them the rooms on time and get them out of the lounge I say.  
The hotel is wearing down at the edges. The carpets are running threadbare , the rooms while huge in size are not well maintained any longer. Light switches don't work, or are broken in some cases, bedsheets with tears in them, and showers which are stuck in hot or cold mode.  These are problems one does not associate with 5 star properties.  As such till it opens anew I suggest they downgrade to 3 star and drop prices accordingly thereby deliver more value for money. 
The much famed Amari  breakfast was nothing much to talk about and the restaurant is woefully small for their size of property and as a result one might have to wait up to 30 minutes to be seated. Dishes are not refilled and the staff have to be told many times before the same is done.  Probably shows inadequate amount of staff. 
All in all I was very disappointed in losing an old friend, something which I held this property to be.",GandhiJ,?.?.-17,2,"New Delhi, India",Business,null,null,null,null,null,null
1646394033-815,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Great location, Great service and Good room.  Room was a bit dated, but the location and service were outstanding.  The hotel also has an excellent restaurant and very relaxing bar located next door.  Hotel is a bit old, but rooms were very clean and comfortable.  It is also located on the opposite end of the main strip, away from red light district, and was very safe.",tcc1056,?.?.-15,5,"New York City, New York",Business,5-Location,5-Service,4-Sleep Quality,null,null,null
1646394033-550,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,The stay was good. The pool area and children activity Area were the highlights. Food was good but breakfast was lacking variety and same food was being repeated. Otherwise it was a very good experience,vignesh343,?.?.-21,5,,Business,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646394033-585,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This is my 3rd time staying here but the 1st time after the renovation. The service is as great as it has been since my 1st time here. The room is spacious comparing with others in the same area and price. The location is very convenience. 
The breakfast buffet is good with variety of food and beverage.
The newly renovated swimming pool is great! The staff at the pool and kids club is also great. My kids love it very much.
Just one star reduction for staying in the room next to the elevator as you can hear the sound of the elevators’ cable all night. Besides, the air-con in my room is not working and have to wait the technician to fix it.",yongcharoenfarm c,?.?.-19,4,,Family,null,null,null,null,null,null
1646394033-723,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"The Amari is a nice hotel right on the beach within walking distance of most shops/restaurants on the beach. The hotel itself was beautiful and the rooms were outstanding. The only negative was despite the fact that we came in a large group they had plenty of notice before hand, it was about an hour and half wait to get the room. Other than that everything was perfect.",Jason N,?.?.-16,4,"Oahu, Hawaii",Friends,null,null,null,null,null,null
1646394033-573,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Good for family, kid will love pool. Breakfast also good but you must be arrive before 8:00 am after that so clouded. Parking area a bit far but good that have shuttle car. Room have a nice view for pool and ocean view.",Prariwat P,?.?.-19,4,,Family,4-Value,4-Rooms,3-Location,3-Cleanliness,4-Service,4-Sleep Quality
1646394033-776,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This property is very close to the beach, a road doing the separation.It abuts Holiday Inn on one side.
The early check in was smooth and done in no time..The breakfast boasts of a very wide spread and delicious too .The rooms ,though a bit tired, are very spacious and so also the toilet.From the small balcony, you get a good view of the sea as well.All the in room facilities are top class including free WIFI.
They have a very large pool and can be accessed from the restaurant , set amidst a garden.Also the garden wing of the hotel is located across the pool.The pool side outlet offers you nice cocktails.Playing facilities like shuttle , table tennis are there.
The cons point mainly towards the attitude of the staff and mainly that of the lower grade bell boy etc.While the front office staff was very polite, the bell boy was virtually  shouting at us!!!These type of staff should be terminated on the spot.No near by consumable stores are there but for a family mart which was closed that time for renovation.
But considering the location and amenities , it is definitely worth a stay.",krish_ekm,??.?.-16,5,"Kochi (Cochin), India",Family,5-Value,5-Location,3-Service,null,null,null
1646394033-646,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,The hotel has apparently went through recent renovations but I did not see much new since my last stay in 2017. The rooms are fairly spacious and I had a nice Ocean view. There is an excellent pool bar but the service can be slow at times. The beach is across the street but not a great beach but the hotel is central and for western food if you like there is a Hard Rock Café about 200 meters away. All in all a decent place but definitely not 5 star.,edwardanicolette,??.?.-18,4,"Melbourne, Australia",Business,4-Value,4-Location,3-Service,null,null,null
1646394033-606,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Exclutive lounge staff very good service but some problem is from management team policy that s make they can't  to show spirit of power they have  suite part not recommended to stay if you not rich and blind because tower part room is better,Companion58031287095,??.?.-19,5,,Couple,1-Value,1-Rooms,5-Location,5-Cleanliness,5-Service,2-Sleep Quality
1646394033-556,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I have stayed at Amari Pattaya for multiple times already. The hotel is located in the perfect location, the room are in excellent condition especially cleanliness. I personally concern a lot about the cleanliness of the hotel as I am traveling with my baby.   Right from the beginning, the bell boy are well trained and polite. During check- in staff (Khun Mint) at the reception are very professional and remember her guests very well as she greet me with “welcome back” so I knew that she remembers me from our previous stay. She also remember our prefer breakfast slot time.   One of the best thing I notice out of many hotel I visited is that at Amari Pattaya, they do Key card sanitizer, which I personally think it took the hygiene standard to the next lev. The room also secure",ployklinsarp,?.?.-20,5,,Family,null,null,null,null,null,null
1646394033-632,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"My Fav Hotel in Asia if not the Globe, they recognized it was my 70th stay and gave me, wine, fruit, cheese and a free dinner in the Mantra Restaurant. Staff always very friendly and attentive.
I come here as often as possible, the construction did not disturb me as its very much managed to cause min disruption to guests.",jamesdonnachieext,?.?.-18,5,,Business,5-Value,5-Rooms,4-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646394033-845,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I've stayed at the Amari in Pattaya many times, sometimes in Ocean and sometimes at Garden wing. It is great apart form the breakfast in Ocean. It was chaos on Saturday and Sunday. Staff were rude and clearly not used to dealing with large numbers of guests. Food ran out and wasn't replaced and other food was bland and cold. A woeful experience and not the first time it has happened to us at Amari Ocean for breakfast.",David F,??.?.-15,3,"Bangkok, Thailand",Couple,3-Value,4-Rooms,4-Location,4-Cleanliness,3-Service,4-Sleep Quality
1646394033-728,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"What a great hotel. The staff are very friendly and are making sure that your stay is the best.
At the pool they are really taking good care of us. Always looking around to see if they can help.
The restaurant the Mantra serves top quality food. 
A visit to remember and to repeat.",Bart Blikman,?.?.-16,5,Utrecht,Family,null,null,null,null,null,null
1646394033-835,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This is good property at the beach at Pattaya, the room has a beautiful view of the ocean. The staff is friendly. It is about 5 minutes from the main attraction The Walking Street, its a great place for a family stay as it is away from all the Bars but not too far if one wants to out and party.",Channi0811,??.?.-15,4,"New Delhi, India",Family,5-Location,4-Cleanliness,4-Service,null,null,null
1646394033-863,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This is the first time we have stayed at Amari Ocean Pattaya. It was a family vacation and we stayed there for 4 nights with our 9 year old son. It was like ""Wow"" the moment we entered into the hotel lobby ! From the check in till check out the whole experience was excellent. The hotel design, beautiful surrounding in and around the hotel, swimming pool, breakfast etc etc all were purely high class. The hotel people were also very nice, friendly and helpful. The ocean view deluxe room was spacious, comfortable with nice ocean view. The locaiton is also very good for the family travellers as it a bit away from the pattaya city centre. It is very easy to move around the pattaya city from the hotel due to continous availability of tuk tuk. As a whole our trip to Pattaya will be a memorable one because of Amari Ocean Pattaya.",SaquibDhaka,?.?.-14,5,Dhaka,Family,5-Rooms,5-Cleanliness,5-Service,null,null,null
1646394033-721,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We stayed here for business trip.
The hotel locate at good location. You can enjoy at the beach, just across a small road.
Nice swimming pool. Nice view from the room. 
Good services. 
Clean room with many facility but i feel wasn't private when i used the bathtub, because it had no sliding door curtains.
Breakfast was good. But the breakfast room was not big enough when they had so many guests.",Cho C,?.?.-15,4,"Bangkok, Thailand",Business,4-Value,4-Service,4-Sleep Quality,null,null,null
1646394033-850,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Amari Ocean - our fifth visit...What is it that keeps us returning to this hotel? 
Excellent staff: always ready to help and go the extra mile to ensure that guests are looked after. The restaurant staff were excellent, always refilling our coffee and supplying our chosen breakfast requirements.  Staff in the Tavern by the Sea, poolside, reception, housekeeping, security - all superb...Fabulous customer service.  The GM Brendan, the F and B manager Dan and many senior staff can be seen around the hotel checking that guests are happy. Each and everyone of them stopping to pass the time of day and to enquire if everything was to our satisfaction. While we were there we celebrated a birthday and anniversary.  The staff went out of their way to ensure we had a fabulous day, even bringing a birthday cake around the pool and singing 'Happy Birthday'.
Check in: fast, professional and courteous.  Four couples (plus two young children) arrived after 10pm, we were given cold towels and drinks, and the whole process took about 10 minutes maximum. Room keys and complimentary internet passwords given, and off to the room.  Our bags arrived almost as we got to the room...faultless.
Location:  right on Beach Road...easy access to all areas of Pattaya.  Close enough for easy access, but far enough away from the 'madness' should you want complete relaxation.  The grounds and pools are well maintained and just what is needed in 90 degree heat...cold towels and fruit around the pool a welcome treat!
Rooms: large and spacious, our Tower room had everything we needed for a great stay.  Housekeeping was efficient, and the room was always cleaned to a high specification.  Plenty of storage, high water pressure meant that the shower was powerful. Thoughtful touches - bathrobe, slippers, tea and coffee making facilities plus a beach/pool  bag for your convenience...even an umbrella just in case!
Food: the breakfasts are far superior to any hotel in the area...exceptional choice, fresh ingredients, and once again attentive staff.  The food around the pool is a little more expensive than outside, but you pay for the convenience of not having to leave the sun lounger!  The Tavern by the Sea is a great place to enjoy one of the Speciality Nights.  The Churrasco night was superb, with free flow meat and seafood, together with salads and deserts...yummy!  The ribs and wing night was also a favourite!  The regular menu was also quite extensive offering a wide range of different meals...the beef and chicken fajitas delicious!
We come to Thailand for the great weather, excellent food and great hospitality..all of which we enjoy at the Amari Ocean.  A great haven for relaxing and enjoying Pattaya.  Give it a try...you won't be disappointed!",RhondaEssex,?.?.-14,5,"Stanford-Le-Hope, United Kingdom",Family,5-Value,5-Cleanliness,5-Service,null,null,null
1646394033-765,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We went to Pattaya in a group of 20 people from office and booked Amari Ocean Pattaya through our travel agent Orbitz. Amari Ocean is the property you should look to stay in Pattaya. There are many 4-5 star properties all around however considering the cost to delivery, Amari is the best choice among all. Our check in was smooth and we were provided with wet towel to clean ourselves and a smoothening welcome drink. Room was very comfortable and had all amenities we look for in a 4 star property. The only drawback was that the garden facing rooms doesn't have Lift and we have to take stairs to go up however this is not a matter of concern. Overall, a very good experience.",indo-canadian,?.?.-15,5,"Halifax, Canada",Friends,5-Location,5-Cleanliness,5-Service,null,null,null
1646394033-796,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Location is excellent. The beach is just in front of you.
We booked the junior suite room, and it was very great.
The big glass windows in room made us feel comfortable.
We also saw both swimming pools and the sea from that window.
Bed was very cozy, I loved it!
Choice of breakfast was various but I don't like chicken sausage and bacon.
I think it can be better.",Mayismayme,?.?.-15,4,"Bangkok, Thailand",Couple,5-Rooms,3-Cleanliness,4-Service,null,null,null
