web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype,score1,score2,score3,score4,score5,score6,,
1643535515-935,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I loved everything, the room, the food, the super friendly staff.... I really recommend this hotel. A very comfortable room and clean, great food both in the hotel and the cafe. Also a good location where I could find everything near the hotel.",inesrodrigues1996,Date of stay: April 2018,4,"Macau, China ",Trip type: Traveled solo,5-Value,5-Rooms,4-Location,4-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-965,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"we had been on a 4 week trip around Asia,For our last 2 nights we treated ourselves to a stay here on rock royalty level.The service we got was second to none.
the staff were great and the vip lounge where you get food and drink up until 10pm was amazing. The views were just to die for.
If you can afford to stay on the rock royalty level then i highly recomend you end your holiday in style.
Truly amazing stay,thank you hard Rock Hotel Pattaya.",scunnyman,Date of stay: March 2018,5,"Scunthorpe, United Kingdom",Trip type: Traveled with friends,5-Value,5-Rooms,5-Service,null,null,null,,
1643535515-1001,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Came here with a big group of friends from Bangkok for the weekend and we really enjoyed it. It was the second time we had stayed here and we were looking forward to coming back. The staff at the hotel are amazing! They were really friendly and attentive all weekend. From the waiters to the chambermaids and even the entertainers-they all had smiles on their faces and made sure we were having a great time. The beds at the hotel are extremely comfortable! It was one of the highlights of the stay! The breakfast and buffet dinner was extremely good with a wide variety of choices. The pool is well designed and fits lots of sun loungers. You can even rent inflatable donuts to lounge in the pool all day. You don't really need to leave the hotel if you've just come for a weekend break-the hotel has plenty on offer. Although I don't have children, the kids club here looked really good! The spa was also excellent and I had a wonderful massage. The staff were very kind and friendly.",JBopinion,Date of stay: May 2017,5,"Hong Kong, China",Trip type: Traveled with friends,null,null,null,null,null,null,,
1643535515-811,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I like a bit of an upper end hotel when I travel so, as a regular visitor to Hard Rock Cafes around the world, I thought I would try out the Hard Rock Hotel on my visit to Pattaya.
I have no idea what star rating they have officially, but this was one of the finest hotels I have ever used, and it starts the moment your taxi pulls up at the door.  The staff were universally friendly and helpful, the room was spectacular, and what a view!
There is a nice swimming pool area at the back, where they were having a pool party on the night of my arrival. Great DJs, super cool atmosphere (despite 32 degree heat).
Just outside the back gate is the Hard Rock Cafe and across the street is the beach.  A short promenade along the beach takes you to the pedestrianised area of shops, bars and restaurants (and Russian strip-Tease joints).
All very splendid!",Bill Deeley,Date of stay: March 2019,5,"Edinburgh, United Kingdom",Trip type: Traveled solo,5-Cleanliness,5-Service,5-Sleep Quality,null,null,null,,
1643535515-1110,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,We love to stay at this hotel. 3 weeks each time..go very fast because you  feel like home ..the people working there give a very good service and are so nice😊 Love music and live music every day 🎸Recomand your stay here!,ifoto1,Date of stay: March 2017,5,Namsos,Trip type: Traveled as a couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1015,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"1.Add more navigation to hotel coner and elevator,it can be more convenient to anyone.
2.The toothbrushes and toothpaste can be set on the rooms,because sometimes we must go down the lobby asking for them",jianhaoz2017,Date of stay: May 2017,4, ,Trip type: Traveled with friends,4-Value,4-Rooms,3-Location,5-Cleanliness,4-Service,5-Sleep Quality,,
1643535515-910,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"The staff are amazing very friendly, welcoming and can’t do enough for you. There is plenty to do or if you want to relax. The pool is definitely the place to be . The staff are so good with the kids as well as the adults. The water aerobics is a must. Would definitely recommend it.",Annabella R,Date of stay: April 2018,5,"Peterhead, United Kingdom",null,null,null,null,null,null,null,,
1643535515-1410,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Plus points:
1) Have 2 hard rock shops selling stuff with either (hardrock)hotel or (hardrock)cafe branded stuff if you are into it
2) Welcome drink was good
3) had lunch at the hardrock cafe while waiting check in. Nice and friendly crew. But food too long considering there was only 2 tables
Minus points
1) Definitely not a business hotel
2) Food hygiene: terrible at the hotel restaurant. Went to take watermelon, was little specks on it and thought it was seeds. When i reach for it with the tongs, seeds moved. Actually were mini flies. Cannot believe it in a hotel
3) balcony was dirty, cobwebs and dirt all over the walls and floor.",safeDriver,Date of stay: March 2012,2,Singapore,Trip type: Traveled on business,2-Value,2-Rooms,3-Location,1-Cleanliness,3-Service,3-Sleep Quality,,
1643535515-1207,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Unfortunately, instead of having holiday, I was here for business at Rayong. So I feel really misplaced. While others were with their shorts, I was with my business attire. 
Anyway, this hotel is nicely located accross the beach, lot of happenings around. Swimming pool is the center of attraction. 
There are several halal indian restaurant around, walk for 5 min to central festival mall, there are two halal restaurants at the food hall at the basement level. 
I booked hotel with sea view, but the room does not have balcony, so not really optimized for a sea-view room. 
The breakfast buffet was too-porky for me as moslem. So I skipped it",Wartadinata,Date of stay: May 2016,4,,null,null,null,null,null,null,null,,
1643535515-1275,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I recently stayed here for the weekend with a very large group of friends and was not sure how much I would enjoy the experience of a large themed chain such as this however it greatly exceeded my expectations. The staff were simply fantastic, nothing was too much to ask and service was always with a smile. It can be hard to deal with large groups but the hard rock staff took it all in their stride. We had use of the King's Club Lounge which was well worth it as the communal dining area where breakfast was served was an incredibly loud, echoey space that wasn't great after indulging in the happy hour the day before. 
The hotel room was well equipped with two large single beds and comfy bedding. My only complaint was the lighting in the bathroom which wasn't great for putting on makeup etc. However this is really a very small complaint as everything else was completely faultless. 
The pool area is generous and well designed. The children's area can be easily avoided and food and drink can be ordered right from your sun lounger. After enjoying snacks at the happy hour including cheese (a treat when you live in Thailand) and then eating at the restaurant buffet we all attended the foam party which was so much more fun than I'd imagined. You can go in the pool and in the foam and it was really well organised. The bar staff were also super nice and tolerant of 50 something screeching women.  
I would definitely come again with friends for a fun break within easy reach of Bangkok. I think it would also be good if there were kids in the group as there was a lively kids club and a large pool with lots to do.",Smitch83,Date of stay: May 2015,4,"Ringwood, United Kingdom",Trip type: Traveled with friends,5-Rooms,5-Service,5-Sleep Quality,null,null,null,,
1643535515-897,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Always friendly and quick Service, cleaness and Food very good, nice Crew there, really nice place to start your vaccation to other Areas too. Good safety, good structure around too.
Definately a place you can visit and stay !",Mr-Robert-2018,Date of stay: April 2018,5,"Cologne, Germany",Trip type: Traveled solo,4-Value,4-Rooms,4-Location,5-Cleanliness,5-Service,4-Sleep Quality,,
1643535515-1347,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"We stayed at this hotel from 27/02 - 02/23 for our honeymoon. 
The hotel stay would have been fine if not for two bad incidents in the hotel. 
1] The hotel was trying to charge us for two drinks which were missing from the freezer. Our mistake was we did not count the drinks in the freezer while entering, but then do you expect the guest to count it upon entering ?
2] Secondly two precious watches, worth 400$(approx) was stolen from our room.
The hotel has a nice pool area and Spa, not to mention the breakfast buffet.",Reetwick,Date of stay: February 2014,3,"Pune, India",Trip type: Traveled as a couple,3-Value,3-Rooms,4-Location,3-Cleanliness,2-Service,3-Sleep Quality,,
1643535515-804,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Nice hotel, great place , had a good time at the pool...room was spacious, location was ideal..
visited Hard Rock Cafe, u have a friendly staff named Pound...he made us feel comfortable..you should have more staff like him.",MaryannAbraham,Date of stay: April 2019,5,"Kuala Lumpur, Malaysia",Trip type: Traveled with friends,3-Value,4-Rooms,4-Location,4-Cleanliness,4-Service,4-Sleep Quality,,
1643535515-1036,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Nice place to stay but the quality of the drinks at shack bar is no where at minimum standard , bought few cocktails at shack bar but despite feedback given the waiter decided to be rude by giving nasty look rather than taking the feedback positively, suggest senior management try to taste the cocktails prepared at foam party, on positive side at Hard Rock Cafe cocktails taste great, contra to at shack bar",palanivelan,Date of stay: May 2017,4,"Johor Bahru, Malaysia",Trip type: Traveled as a couple,3-Value,5-Rooms,4-Location,5-Cleanliness,3-Service,5-Sleep Quality,,
1643535515-1310,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Stayed for 12 nights and wasn't over impressed with hotel/complex !!
Rooms to be fair inside not bad, most have no balcony, breakfast buffet is one of worst ever experienced around world, un-imagenative and predictable !!
Very pricy in general and with exception of odd individual member of staff, service was slow !!
Pool area cramped, with to much emphasises given to under used cabanas !!
On site band very good but again drinks/food pricy !!",LocationMK,Date of stay: March 2015,2,"Husborne Crawley, United Kingdom",Trip type: Traveled with friends,null,null,null,null,null,null,,
1643535515-1397,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"this the place to have fun in thailand, a ginormous pool with its own beach, a bar in the pool with rocks as stools, all day entertainment from the pool team (it helps if you like to dance), amazing buffets with a whole pig on a barbecue on saturday nights, the friendliest staff i have ever met and a fabulous hard rock cafe to rock away the evenings. Fantastic for familes with young children as they have a kids club with video games, rock climbing and lots lots more.if you can afford it book into the kings club floor where the rooms are enormous and the club room serves FREE snacks and drinks all day.we were in the kings club and i was able to order sirloin steak for breakfast in the club room at no extra charge..very tasty.",iain_katie,Date of stay: March 2013,5,"Majorca, Spain",Trip type: Traveled as a couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1194,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,very good property. very good location. nice swimming pool and the wi fi was great getting 2.3 mb/s download speed. only thing less option in indian food. but just out side of the hotel have ALI BABA indian restaurant.  nice place to eat. good food.,Mithun n,Date of stay: March 2017,5,"Kolkata (Calcutta), India ",Trip type: Traveled as a couple,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-761,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Very nice stay, friendly staff and good facilities.  Room was very clean and spacious.   Food was reasonably priced and discount offered in restaurant to hotel guests.   A couple of free welcome drinks was a very nice gesture too.   Upgraded on arrival to sea view.",Tomtw2,Date of stay: March 2020,5,"Hever, United Kingdom",Trip type: Traveled solo,null,null,null,null,null,null,,
1643535515-857,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"The room was quite nice.
Check-in was terrible.  The Chinese guests checking in swamped the reception area.  They require a 400 Baht deposit and their credit card reader wouldn't accebt three of my cards despite my using them earlier and later that same day.",VivaHawaii,Date of stay: March 2019,4,"Honolulu, Hawaii",Trip type: Traveled solo,5-Rooms,5-Cleanliness,3-Service,null,null,null,,
1643535515-836,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"There are a lot of new hotels popping up but HRC is aging well. Really friendly staff, relaxed atmosphere. Very family friendly but still good for people (like me) who aren’t fond of kids. The breakfast was ok better than some, but the restaurant was great and and music was top notch.",NorthStar42581177053,Date of stay: April 2019,4, ,Trip type: Traveled with friends,5-Value,4-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1213,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Visited for several nights on business.  Excellent well-appointed room!  Hotel directly across from the beach, although the beach is not very clean or attractive.  Hotel has large pool area, multiple family activities and several dining choices.  Extremely helpful and courteous staff.  Superb buffet breakfast included with the room and served from 6 to 11.",Fred F,Date of stay: May 2016,5,"Chicago, Illinois",Trip type: Traveled on business,4-Value,5-Cleanliness,5-Service,null,null,null,,
1643535515-856,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,The location is great away from the hustle and bustle but yet a walking distance from eateries and shopping mall. You can also just get a tuk tuk just outside of the hotel anytime of the day. Spacious room nice pool good breakfast and the friendly staff.,vani s,Date of stay: November 2018,5,"Petaling Jaya, Malaysia",null,null,null,null,null,null,null,,
1643535515-1066,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"the pool wasnt so clean.please clean the main pool. everything is great. i just had sauna and steam room, it's really good. the restaurant service is good. the room is clean, staff is friendly.. beside from the pool everything is excellent.",Gino V,Date of stay: April 2017,4,"Hong Kong, China ",Trip type: Traveled with family,5-Value,5-Rooms,5-Location,3-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1119,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Overall the hotel was superb. Pool was awesome. Location was gd and services was tremendous. Except being muslim, food was difficult in the hotel as they serve pork. So i could only depend on toasts and cereal.",lea2510,Date of stay: March 2017,5,"Melaka, Malaysia ",Trip type: Traveled with family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1109,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"our room is behind the hotel, so we can't see the view from the window;but the breakfast is very good; and also one of the receptionists can speak chinese, who is very kind, help us a lot;  one-day trip can be booked from the hotel. the swimming pool is very big.",willfunfun,Date of stay: April 2017,4,Guangdong ,Trip type: Traveled with friends,4-Value,3-Rooms,4-Location,4-Cleanliness,4-Service,4-Sleep Quality,,
1643535515-822,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Stayed for 2 nights during our post-Bangkok Songkran experience. Staffs were really friendly and kind, even the security guard at the ground floor lift lobby would rush to call the lift once he sees you walking over hahaha. Special shout out to Som (Sorry if i've mis-spelt your name) who provided lots of information when we first arrived.
My main reason why this review was only 4* was cause i expected a lot more when it comes to the room since we chose a hotel that charges a significantly higher price. Please place the hairdryer in the wash room rather than in a separate location. Wash room mirror would also fog up after a shower.",Shawn Goh,Date of stay: April 2019,4,"Singapore, Singapore",Trip type: Traveled with friends,null,null,null,null,null,null,,
1643535515-977,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Right on the beach towards the northern end of Beach Rd this hotel could not be better located. It has a fantastic pool  with swim-in bar, pool games and comfy sun lounges. Quirky features include murals of the Beatles crossing Abbey Rd so that you can have a photo with the fab four. You can also have an electric guitar sent to your room free of charge for that 2am jam session. All in all not five star but a fun place to stay.",Ray C,Date of stay: May 2017,4,"Brisbane, Australia",Trip type: Traveled with friends,5-Location,4-Service,4-Sleep Quality,null,null,null,,
1643535515-860,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Been to pattaya in December and stayed in hard rock and as expected it was nice hotel with all the amenities with great location and good food.Hard Rock is bang opposite of sea beach and nearby of lot of restaurant and market
Highly recommended",Sanjeev K,Date of stay: December 2018,4,"Kolkata (Calcutta), India",Trip type: Traveled as a couple,null,null,null,null,null,null,,
1643535515-1116,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"The overall services and place still excellent for me, Khun Ann still gave me a very warm welcome.
Staffs at Starz Dinner are very good service mind.
Staffs at Rock Spa very good service mind.
But junior staffs in Rock Royalty at the date I was checked-in, not much gave smiles to Thai people.",orawan2017,Date of stay: April 2017,5,Rayong,Trip type: Traveled as a couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-780,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Always use Hard Rock, frindly people and good combination of peacefullness and a rock party if you need. Girls in the business lounge and office facilities are very service minded and helpfull, as a returning guest do the service mpress be time after time. Facilities is maintained at a very high standard, even the Hotel always have many guests.
Morning buffet if fine, not ""high class"", but with plenty of options in fine quality.",Guide50585823573,Date of stay: May 2019,5, ,Trip type: Traveled on business,3-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1144,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Overall satisfied. Im a frequent traveller which spending about 120 days every year around south east asia.
The hotel have a friendly staffs, very clean room, the facilities was good and the most important thing that is i can get my collections at the hardrock cafe. Well,15% discounted price because i booked via Hardrock website.
Don't trust all the travel website please, while you are booking thailand hotels, always go to the original hotel website and i guarantee you will get the best rate among the other websites.
One last thing im not really happy about it that is the hotel have different rate (cheaper) for only PRC & resident from Macao / HK to book via Ctrip.com. think they should apply to all neighbour country like Malaysia and Singapore. Guess what? Our spending power is not lesser than PRC / Macao / HK ! Just that our populations are lesser.
Hope the hotel can seriously consider this. Because of this different of rates that only makee stay 1 night here and going to centara grand mirages stays for the next 4 nights even the rates are much more expensive. But at least consistent and no different.
I have a great stay in Hardrock and will definite visit here again in Songkran Festival.",Victor Lee,Date of stay: March 2017,4,"Johor Bahru, Malaysia ",Trip type: Traveled as a couple,3-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1095,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Our favourite place to stay .. perfect location views and best pool in Pattaya.and it's Perfect for the water festival too, you can go out get soaked and pop back to hard rock to relax . (Then repeat) 👍🏻
It's always great to come back to hard rock and perfect for family's . Our  kids 13-15-18 love it. The service is always spot on .. great food and the rockstar floor nine is fantastic . We will Always come back 
Many thanks to all the hard Rock",iananthonyj,Date of stay: April 2017,5,Derbyshire,Trip type: Traveled with family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1319,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I booked hotel day before when I was in BKK - last minute price was very good, so I really get value for the money. Room was nice and clean, and we had a nice view to the sea. I received free late check-out because of HRC Rewards. Breakfast was very nice and there was lot to eat. The breakfast was included my room price. Reception arrange transfer back to the BKK in no time. Special thanks to Ana who was working in the front office - she and whole hotel really rocks - for sure I am coming back this hotel for longer stay",LeeFinn,Date of stay: May 2014,5,Finland,Trip type: Traveled as a couple,5-Value,4-Rooms,4-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1011,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Well we love Hard rock cafes all over the world so had to stop here. Not dissapointed with our meal at all, lots of it and great service. We also had a live band playing while we were here. Fantastic and a real great voice. Cant say anything about the hotel here but security on the entrance and it was clean and tidy, we loved it.",daibach999,Date of stay: May 2017,4,"Papamoa, New Zealand",Trip type: Traveled as a couple,5-Location,4-Cleanliness,5-Service,null,null,null,,
1643535515-1393,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"This was one of the highlights we had in our Bangkok Pattaya trip. so nice location, interiors, room service and buffet spread. located very close to walking street, alcazar shows and beach. you cant ask for more from this place.. although very tough to find veg food here.. :P",AravindhMohan,Date of stay: September 2012,5,"Bengaluru, India",Trip type: Traveled on business,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1120,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,Staff were helpful and very welcoming always smiling!! However the room and bathroom was very small. We hardly had space to keep our luggage. Apart from that everything was great!!  Location is perfect- right on the beach and easily accesible,bharateem,Date of stay: April 2017,4,"Melbourne, Australia ",Trip type: Traveled with family,3-Value,2-Rooms,5-Location,4-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1288,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"First time in Pattaya and we booked a superb hotel, the staff were were always jamming to help and rock you in the right direction.
The staff were also enjoying Songkran with plenty of entertainment for families during the day and evening for over 20's  
The main hotel is wheelchair accessible with amble room to maneuver in the bedrooms with a double size walk in shower.
Disappointing that I was unable to use the gym due to access, there was no mention on Hard Rock Hotel Website advising customers that Gym is located upstairs in a separate building with no lift.   
Full marks for the walk in swimming pool with life guard on duty. Twins are too young to join the foam party but enjoyed the atmosphere and DJ boom toons.
The buffet breakfast is always enough to set anyone up for the day ahead.
We enjoyed a stroll to Central Festival shopping mall by crossing at pedestrian crossing just passed Hard Rock Cafe, walk down promenade until you see Police station, then cross back over this way is wheelchair friendly.",ScotlandAmbassador,Date of stay: April 2015,5,Scotland,Trip type: Traveled with family,5-Rooms,5-Service,5-Sleep Quality,null,null,null,,
1643535515-1338,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Hard rock pattaya is my 3rd try on Hard rock chain after hard rock bali and macau.. And the rock vibe is still there, on the decor and the atmosphere.
We got upgraded when we check in. The staff at receptionist is helpful and check in was fast.
The staff that sent our bag to the room (Kevin) is totally great, he did explain to us about attractions at pattaya and even gave me the map of pattaya when i asked him. And he told us about the jetski scam so we can avoid it. 
The room is newly renovated i think and it has the hard rock-ish design and amenities. The room feels good and airy with the balcony, but the wardrobe section could be better as its stuck on the corner with little space left to put your clothes. The bathroom is kinda old and the sanitary ware at the shower area looks like they need a change.
Bed is comfortable, and room service is quick and delicious. Its our anniversary trip and the hotel staff put flowers and a plate of strawberry chocolates with a greeting card so big thanks for that.
The pool is great and the breakfast is tasty, loved the thai noodle soup there.
Location is quite in the centre of pattaya, near some night market and central festival mall and a lot of eateries nearby
The downside is, that the front lobby feels so hot even at night time, maybe its because pattaya is hot or the air conditioner need an upgrade. And while some staff perform great and helpful, some are just plain, even when i smiled at them and thank them for doing something, no facial expression or smile back from them.
Overall, stay at hard rock pattaya is recommended, especially if you already know what to expect from hard rock hotel chain cause this hotel is lived up to the expectation",Marwan1985,Date of stay: March 2014,4,"Serpong, Indonesia",Trip type: Traveled as a couple,4-Value,3-Rooms,4-Location,4-Cleanliness,4-Service,4-Sleep Quality,,
1643535515-1407,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,I have stayed at the Hard Rock Hotel in Pattaya twice now in the last  year and loved it both times. Ralph and the service staff were great and will use it for all my yearly trips to Thailand from now on. Glad to see the rooms and Hotel are getting a much needed face lift. Keep up the good work.,Troy S,Date of stay: October 2011,5,"San Antonio, Texas",Trip type: Traveled as a couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1020,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Perfect location on Beach Road & Second Road , very friendly staff from the bell boy to Receptionist, Swimming pool life guard all of them were kind & helpful.
Half km from walking street, full security on gates.
The best Swimming pool with entertainment & games, highly recommended for families & kids. You mus try the Hard Rock Cafe delicious food & service.",Hussain Ashoor,Date of stay: March 2017,5,"Isa Town, Bahrain",Trip type: Traveled with friends,4-Value,4-Rooms,4-Location,5-Cleanliness,4-Service,4-Sleep Quality,,
1643535515-758,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,I have stayed here before which is why I returned.  Problem was - I planned to stay a week or more but when I booked a room through their Website I kept getting prices that were all over the place from $46/night up to $142/night.  So I booked one night getting the lower price.  When I arrived I asked the manager about the crazy prices and she replied that they are closing the hotel in 2 days.   I guess that's the end of my review!,VivaHawaii,Date of stay: March 2020,3,"Honolulu, Hawaii",null,5-Location,5-Cleanliness,3-Service,null,null,null,,
1643535515-1332,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,get wild at the hardrock bar...great night of dancing and having fun...get drunk..great music...great company...fun..fun...fun..strategic location right by the beach in Pattaya...friendly staff...great service..,lihua020311,Date of stay: June 2013,5,"Cebu City, Philippines",Trip type: Traveled with friends,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1425,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"WARNING there are fake fire detectors in all rooms and corridors, this hotel is a disaster waiting to happen, also there are only one fire bell / alarm every floor, in the middle. if there is a fire then you will not hear the fire alarm. also if there is a fire in your room the smoke will kill you before the hotel staff is warned.
 when asking for the managers comments before printing this, he replyed that he did not have the time to answer. even hven i was there for 4 days.
also there are mushrooms in the showers since there is no outlet from the showers.. its a great hotel, bat i did not sleep well when thinking the sinaro of an fire.
also internet did not work in the room.",CATO1234,Date of stay: February 2012,1,"Tonsberg, Norway",Trip type: Traveled solo,3-Value,4-Rooms,2-Location,4-Cleanliness,5-Service,1-Sleep Quality,,
